Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
BUENOS AIRES,,Villa Bordeau,0,--,,,--,--,,,SI,SI,,,"-62,3200223419024"
BUENOS AIRES,Bahía Blanca,Villa Espora,,--,--,--,,--,--,--,--,,6056020,"-38,7765069529222","-62,1851833537179"
,Balcarce,Balcarce,38376,,SI,SI,SI,,SI,SI,,,6063010,"-37,8482779294345",
,Balcarce,Los Pinos,337,,--,--,--,,SI,,--,--,,,"-58,3225920150442"
,Balcarce,Napaleofú,,,--,--,,,SI,SI,SI,SI,,"-37,6254980210026","-58,7461862359423"
BUENOS AIRES,,Ramos Otero,95,--,,--,--,--,,--,,SI,6063040,"-37,5426353712017",
BUENOS AIRES,,,498,--,,,--,--,,SI,--,,6063050,"-38,0122838564587","-58,355377761682"
BUENOS AIRES,Balcarce,Villa Laguna La Brava,,--,--,--,,--,SI,,SI,SI,,,"-57,9806008736401"
,Baradero,Baradero,28537,,SI,--,SI,,SI,,SI,SI,6070010,,"-59,5043068852807"
BUENOS AIRES,Baradero,,379,--,--,,SI,SI,SI,SI,--,--,,"-33,9810489198561","-59,6715601606315"
BUENOS AIRES,,,203,--,,,--,--,,,--,SI,,,"-59,5585420642846"
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),,SI,--,--,,--,SI,SI,SI,,6070040,"-33,9096038045591","-59,3882017132282"
,Benito Juárez,Barker,,,--,SI,,,SI,SI,,,6084010,"-37,6424111302365",
,Futaleufú,Lago Rosario,87,,--,--,--,,--,,--,--,,,"-71,3512318442886"
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),,,SI,SI,,--,SI,SI,SI,SI,,"-34,9267739074255","-58,9453407851291"
BUENOS AIRES,,La Choza,41,--,,--,--,--,,--,,--,6329030,"-34,7829908276155",
BUENOS AIRES,General Las Heras,,0,--,--,,--,SI,,--,--,,6329020,"-34,8542796259808","-59,0533451317779"
,General Las Heras,Plomer,,,--,--,,,--,,--,--,,,"-59,0279756935744"
,General Las Heras,Villars,1147,,SI,SI,SI,,--,,--,--,6329060,,"-58,9422589402025"
,General Lavalle,Chacras de San Clemente,0,,--,--,,,SI,--,--,,6336020,"-36,4080851872455","-56,9433553335054"
BUENOS AIRES,General Lavalle,General Lavalle,,--,SI,--,,SI,SI,SI,,SI,6336020,"-36,4080851872455",
BUENOS AIRES,,Pavón,942,--,,--,SI,--,,--,SI,SI,,"-36,7089537726649","-56,7598433617574"
BUENOS AIRES,General Paz,,265,--,--,,--,--,--,,--,--,,,"-58,447313612508"
BUENOS AIRES,,,657,--,,,--,--,,SI,,,6343020,"-35,2747490125694",
BUENOS AIRES,,Ranchos,7916,SI,,SI,SI,--,,SI,SI,,6343030,"-35,5173520233652","-58,3184247148653"
,General Paz,Villanueva (Ap. Río Salado),,,--,--,,,SI,,--,--,,,"-58,4350923167562"
,General Pinto,Colonia San Ricardo (Est. Iriarte),811,,--,--,--,,SI,SI,SI,SI,,"-34,4162137301573","-61,9280141749282"
MISIONES,,General Urquiza,372,--,,--,--,--,,--,,,54098040,"-27,0988816811273",
