Año,Trimestre,IPC AR,PBI millones,Dolar Blue,Dolar Oficial,Ingresos (miles de pesos),Ingresos Dolar Oficial,Ingresos Dolar Blue,PBI dolar Oficial,PBI dola Blue
2013,1,298.0,2888981.0,8.0,5.0,,,,574731.0,359774.0
2013,2,309.0,3387811.0,9.0,5.0,,,,644070.0,389105.0
2013,3,331.0,3436547.0,9.0,6.0,,,,610399.0,380289.0
2013,4,351.0,3679896.0,10.0,6.0,,,,597063.0,376139.0
2014,1,402.0,3917649.0,11.0,8.0,2984054.0,379329.0,270867.0,498006.0,355611.0
2014,2,433.0,4702630.0,11.0,8.0,3270816.0,408852.0,290309.0,587829.0,417393.0
2014,3,461.0,4685503.0,14.0,8.0,3478638.0,421994.0,247590.0,568399.0,333488.0
2014,4,491.0,5010564.0,14.0,8.0,3950441.0,468617.0,289905.0,594373.0,367703.0
2015,1,518.0,5092694.0,13.0,9.0,4876385.0,564832.0,375588.0,589887.0,392249.0
2015,2,549.0,5951479.0,13.0,9.0,4701791.0,528291.0,366850.0,668706.0,464355.0
2015,3,584.0,6221731.0,15.0,9.0,5153739.0,559581.0,336479.0,675541.0,406207.0
2015,4,621.0,6552140.0,15.0,11.0,5376899.0,504715.0,363632.0,615032.0,443111.0
2016,1,697.0,6962845.0,15.0,14.0,5936845.0,409626.0,405338.0,480417.0,475388.0
2016,2,751.0,8401125.0,14.0,14.0,6534241.0,459080.0,455665.0,590243.0,585852.0
2016,3,791.0,8448890.0,15.0,15.0,6912442.0,464962.0,456870.0,568311.0,558420.0
2016,4,833.0,8942135.0,16.0,16.0,7483980.0,483878.0,473870.0,578155.0,566197.0
2017,1,880.0,9157377.0,16.0,15.0,8701201.0,565013.0,547245.0,594635.0,575936.0
2017,2,925.0,10595155.0,16.0,16.0,9678647.0,611283.0,604664.0,669168.0,661921.0
2017,3,963.0,10937240.0,18.0,17.0,10065998.0,584666.0,569881.0,635270.0,619206.0
2017,4,1014.0,11533613.0,18.0,18.0,11226127.0,636041.0,622061.0,653462.0,639099.0
2018,1,1083.0,11975804.0,20.0,20.0,13171459.0,668037.0,660113.0,607395.0,600191.0
2018,2,1169.0,0.0,25.0,24.0,14319467.0,587666.0,579188.0,0.0,0.0
2018,3,1169.0,0.0,34.0,34.0,15410981.0,447127.0,449956.0,0.0,0.0
2018,4,1169.0,0.0,36.0,36.0,16637687.0,459605.0,457918.0,0.0,0.0
2019,1,1169.0,0.0,39.0,39.0,20207414.0,518139.0,518360.0,0.0,0.0
2019,2,1169.0,0.0,44.0,43.0,20743118.0,484275.0,472150.0,0.0,0.0
2019,3,1169.0,0.0,54.0,52.0,21652748.0,418007.0,401101.0,0.0,0.0
2019,4,1169.0,0.0,69.0,58.0,24169251.0,416783.0,352407.0,0.0,0.0
2020,1,1169.0,0.0,76.0,59.0,29946216.0,505421.0,395765.0,0.0,0.0
2020,2,1169.0,0.0,113.0,66.0,32102476.0,487016.0,284093.0,0.0,0.0
2020,3,1169.0,0.0,134.0,73.0,31997445.0,437821.0,238787.0,0.0,0.0
2020,4,1169.0,0.0,157.0,80.0,33539703.0,417074.0,213176.0,0.0,0.0
2021,1,1169.0,0.0,142.0,89.0,36676371.0,412867.0,258892.0,0.0,0.0
2021,2,1169.0,0.0,153.0,94.0,38239667.0,408253.0,249389.0,0.0,0.0
2021,3,1169.0,0.0,178.0,97.0,42999944.0,444061.0,241573.0,0.0,0.0
2021,4,1169.0,0.0,198.0,100.0,45467887.0,453545.0,229250.0,0.0,0.0
2022,1,1169.0,0.0,204.0,107.0,55589997.0,519938.0,272500.0,0.0,0.0
2022,2,1169.0,0.0,210.0,119.0,60335724.0,506314.0,286630.0,0.0,0.0
2022,3,,,285.0,137.0,67055930.0,488865.0,235284.0,,
2022,4,,,313.0,165.0,,,,,
