Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
BUENOS AIRES,Bahía Blanca,0,--,--,--,0,SI,SI,--,--,0
0,Bahía Blanca,Villa Espora,0,0,--,--,--,0,--,0,--
BUENOS AIRES,Balcarce,Balcarce,0,SI,SI,SI,0,SI,SI,SI,--
0,Balcarce,Los Pinos,0,0,--,--,0,0,SI,SI,--
0,Balcarce,Napaleofú,--,0,--,SI,SI,0,SI,SI,0
BUENOS AIRES,0,0,--,--,0,0,SI,--,0,0,--
BUENOS AIRES,0,San Agustín,--,--,0,--,--,--,0,0,--
0,Balcarce,Villa Laguna La Brava,--,0,--,--,SI,0,SI,SI,0
BUENOS AIRES,Baradero,Baradero,0,0,--,SI,0,SI,SI,SI,SI
0,Baradero,Irineo Portela,--,0,--,SI,--,0,SI,SI,SI
0,Baradero,Santa Coloma,0,0,--,--,0,--,--,SI,0
BUENOS AIRES,0,Villa Alsina (Est Alsina),SI,--,0,--,SI,SI,0,SI,--
BUENOS AIRES,Benito Juárez,0,--,--,SI,0,SI,SI,0,0,SI
CHUBUT,Futaleufú,0,--,--,--,0,--,--,SI,--,0
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,SI,--
BUENOS AIRES,General Las Heras,La Choza,0,--,--,--,0,--,--,0,--
0,General Las Heras,Lozano,0,0,--,--,0,0,--,--,SI
BUENOS AIRES,0,Plomer,--,--,0,--,--,--,0,--,0
BUENOS AIRES,General Las Heras,0,--,SI,SI,0,--,--,SI,--,0
BUENOS AIRES,0,0,--,--,0,0,--,--,0,SI,--
BUENOS AIRES,0,General Lavalle,--,SI,0,SI,SI,SI,0,0,SI
0,General Lavalle,Pavón,0,0,--,SI,0,0,--,SI,--
0,General Paz,Barrio Río Salado,--,0,--,--,--,0,--,--,0
0,General Paz,Loma Verde,--,0,--,--,0,0,SI,0,--
BUENOS AIRES,General Paz,Ranchos,0,--,SI,SI,0,SI,SI,SI,--
BUENOS AIRES,0,Villanueva (Ap Río Salado),--,--,0,--,--,--,0,SI,0
BUENOS AIRES,General Pinto,0,SI,--,--,0,SI,SI,SI,SI,--
MISIONES,San Ignacio,General Urquiza,0,--,--,--,0,--,--,0,--
0,Magdalena,General Mansilla (Est Bartolomé Bavio),0,0,--,SI,0,0,SI,0,--
BUENOS AIRES,0,Los Naranjos,--,--,0,SI,--,--,0,--,0
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,SI,0
0,Magdalena,Roberto J Payró,--,0,--,--,--,0,--,0,--
0,Magdalena,Vieytes,0,0,--,SI,0,0,SI,0,--
BUENOS AIRES,Maipú,Las Armas,0,--,--,--,0,SI,SI,SI,0
0,Maipú,Maipú,SI,0,SI,--,SI,0,SI,SI,--
BUENOS AIRES,Maipú,0,--,--,--,0,SI,--,SI,0,SI
BUENOS AIRES,0,Area De Promocion El Triángulo,SI,--,0,0,SI,SI,0,0,--
0,Malvinas Argentinas,Grand Bourg,0,0,--,SI,0,0,SI,--,--
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,0,SI,--,SI,0,SI,SI,SI,0
0,San Fernando,San Fernando,SI,0,SI,SI,SI,0,SI,0,--
0,San Fernando,Victoria,0,0,--,SI,0,0,SI,0,SI
BUENOS AIRES,0,Virreyes,SI,SI,0,SI,SI,SI,0,--,0
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,--,SI
BUENOS AIRES,San Isidro,0,SI,SI,--,0,SI,SI,SI,SI,--
BUENOS AIRES,0,0,SI,SI,0,SI,SI,SI,0,0,--
CABA,COMUNA 04,NUEVA POMPEYA,0,SI,SI,SI,0,SI,SI,SI,0
0,San Fernando,Fontana,--,0,--,SI,SI,0,--,SI,0
CHACO,0,0,--,--,0,0,SI,SI,0,0,SI
CHACO,San Fernando,0,SI,SI,SI,0,SI,SI,SI,SI,SI
0,San Lorenzo,Samuhú,0,0,--,--,0,0,--,--,0
0,Tandil,Desvío Aguirre,--,0,--,SI,SI,0,--,SI,--
BUENOS AIRES,0,0,--,--,0,0,SI,SI,0,0,--
BUENOS AIRES,0,María Ignacia (Est Vela),SI,--,0,--,SI,--,0,SI,--
