Codigo;Persona
200101;336
200102;11243
200103;15894
200104;10366
200105;5414
200106;7128
200107;7011
200108;8021
200109;7746
200110;6981
200111;7994
200112;6552
200113;6726
200114;6225
200115;7250
200116;6839
200117;6886
200118;6885
200119;5829
200120;6662
200121;7016
200122;6871
200123;5786
200124;3456
200125;6253
200126;4958
200127;7432
200128;8558
200129;7568
200201;623
200202;4647
200203;5158
200204;6471
200205;6534
200206;6396
200207;7098
200208;7917
200209;8736
200210;6680
200211;5632
200212;6206
200213;7805
200214;8412
200215;6044
200216;5443
200217;7618
200218;6851
200219;6291
200220;5754
200221;5748
200222;4740
200223;6781
200224;5534
200225;8813
200301;7771
200302;9262
200303;8125
200304;5424
200305;4781
200306;4365
200307;6466
200308;5766
200309;7331
200310;6136
200311;6901
200312;6689
200313;7648
200314;7994
200315;7410
200316;7476
200317;7223
200318;7010
200319;7785
200320;7363
200321;7165
200322;6534
200323;7641
200324;6371
200325;7789
200326;7012
200327;6099
200401;9170
200402;7936
200403;10835
200404;9297
200405;10783
200406;9022
200407;11350
200408;9830
200409;5457
200410;11382
200411;7413
200412;7966
200413;7525
200414;6557
200415;7368
200416;8894
200417;7033
200418;74
200419;9625
200420;10414
200421;9073
200422;9360
200423;8717
200424;9164
200425;10545
200426;3455
200501;7222
200502;8325
200503;7153
200504;7333
200505;6516
200506;7946
200507;7473
200508;7797
200509;7088
200510;7965
200511;8656
200512;7018
200513;7402
200514;8247
200515;7664
200516;9217
200517;8677
200518;8352
200519;8864
200520;10687
200521;7985
200522;11418
200601;9344
200602;9507
200603;8594
200604;8523
200605;8862
200606;8517
200607;9879
200608;8137
200609;6679
200610;7865
200611;7362
200612;7547
200613;8382
200614;8407
200615;8450
200616;10520
200617;6575
200618;7542
200619;8423
200620;7642
200621;9319
200701;7320
200702;8937
200703;9340
200704;9842
200705;7551
200706;6995
200707;7929
200708;6397
200709;7727
200710;7187
200711;8616
200712;6692
200713;9877
200714;11215
200715;10085
200716;7971
200717;15847
200718;12711
200719;8763
200720;12063
200721;9898
200722;9868
200723;7032
200724;10728
200801;20892
200802;7896
200803;10606
200804;8982
200805;9346
200806;9622
200807;24268
200808;8894
200809;7635
200810;11671
200811;11107
200812;6449
200813;5713
200814;13719
200815;18125
200816;9222
200817;3090
200901;5999
200902;10035
200903;9326
200904;9134
200905;9638
200906;10823
200907;10721
200908;11267
200909;11021
200910;9268
200911;12583
200912;10330
200913;7198
200914;13850
200915;9493
200916;11111
201001;6524
201002;6895
201003;6278
201004;7544
201005;11301
201006;11318
201007;11004
201008;8919
201009;8509
201010;10366
201011;9620
201012;7284
201013;8497
201014;8653
201015;7039
201016;8044
201017;8500
201018;9422
201019;10305
201101;9489
201102;9398
201103;8687
201104;10278
201105;8171
201106;9145
201107;11353
201108;7463
201109;8761
201110;8475
201111;7582
201112;6954
201113;8876
201114;7162
201115;9887
201116;7876
201117;7229
201118;8333
201119;7525
201120;8797
201121;8933
201122;9458
