Provincia,Partido,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Persona,Total Poblacion Real
Buenos Aires,25 de Mayo,6854.0,1688,5486,0,8,177,976,0,1185,9520,19523,35842
Buenos Aires,9 de Julio,6588.0,5085,3362,83,5976,145,1,0,1355,16007,16764,47722
Buenos Aires,AMBA,6882.0,0,0,0,35,0,0,0,13,48,8986,114269
Buenos Aires,Zárate,6882.0,2448,26372,0,79,700,7,0,982,30588,10618,114269
Buenos Aires,Adolfo Alsina,6007.0,780,0,1,3266,1,2,0,297,4347,12298,17072
Buenos Aires,Adolfo Gonzales Chaves,6014.0,549,0,2,1573,0,0,0,431,2555,514,12047
Buenos Aires,Alberti,6021.0,742,0,6,1,0,0,0,8,757,66,10654
Buenos Aires,Almirante Brown,6028.0,517,95559,156,72228,423,6,0,722,169611,206148,552902
Buenos Aires,Arrecifes,6077.0,956,1187,12,4697,60,1,0,1882,8795,7251,29044
Buenos Aires,Avellaneda,6035.0,5513,57898,184,48974,105,7,0,305,112986,85184,342677
Buenos Aires,Ayacucho,6042.0,2053,0,2,0,0,1,0,222,2278,8062,20337
Buenos Aires,Azul,6049.0,2424,13779,53,56,65,3,0,2231,18611,14049,65280
Buenos Aires,Bahía Blanca,6056.0,5063,105447,407,9091,468,11,0,2997,123484,38536,301572
Buenos Aires,Balcarce,6063.0,1503,11047,38,52,59,0,0,1077,13776,24618,43823
Buenos Aires,Baradero,6070.0,2009,6807,0,4,0,2,0,1088,9910,31212,32761
Buenos Aires,Benito Juárez,6084.0,782,0,21,597,4,4,0,329,1737,756,20239
Buenos Aires,Berazategui,6091.0,4368,36373,62,64756,61,5,0,109,105734,105330,324244
Buenos Aires,Berisso,6098.0,4198,12465,23,6723,29,0,0,1368,24806,50000,88470
Buenos Aires,Bragado,6112.0,1140,4224,10,348,9,0,0,324,6055,25532,41336
Buenos Aires,Brandsen,6119.0,2481,5,0,1482,2,0,0,1135,5105,3013,26367
Buenos Aires,Campana,6126.0,2242,17495,1,8780,18,3,0,159,28698,44757,94461
Buenos Aires,Capitán Sarmiento,6140.0,180,4011,0,0,0,0,0,133,4324,432,14494
Buenos Aires,Carlos Casares,6147.0,1425,9,9,1477,1,0,0,2944,5865,12073,22237
