AÃ±o,Trimestre,Provincia,Mbps (Media de bajada),Unnamed: 4,Unnamed: 5
2022,3,BuenosAires,70,00,00
2022,3,CapitalFederal,101,00,00
2022,3,Catamarca,61,00,00
2022,3,Chaco,53,00,00
2022,3,Chubut,16,00,00
2022,3,CÃ³rdoba,56,00,00
2022,3,Corrientes,45,00,00
2022,3,EntreRÃ­os,42,00,00
2022,3,Formosa,30,00,00
2022,3,Jujuy,32,00,00
2022,3,LaPampa,18,00,00
2022,3,LaRioja,44,00,00
2022,3,Mendoza,34,00,00
2022,3,Misiones,49,00,00
2022,3,NeuquÃ©n,48,00,00
2022,3,RÃ­oNegro,34,00,00
2022,3,Salta,41,00,00
2022,3,SanJuan,16,00,00
2022,3,SanLuis,19,00,00
2022,3,SantaCruz,13,00,00
2022,3,SantaFe,45,00,00
2022,3,SantiagoDelEstero,18,00,00
2022,3,TierraDelFuego,11,00,00
2022,3,TucumÃ¡n,53,00,00
2022,2,BuenosAires,66,00,00
2022,2,CapitalFederal,94,00,00
2022,2,Catamarca,57,00,00
2022,2,Chaco,51,00,00
2022,2,Chubut,15,00,00
2022,2,CÃ³rdoba,54,00,00
2022,2,Corrientes,43,00,00
2022,2,EntreRÃ­os,40,00,00
2022,2,Formosa,28,00,00
2022,2,Jujuy,29,00,00
2022,2,LaPampa,16,00,00
2022,2,LaRioja,43,00,00
2022,2,Mendoza,30,00,00
2022,2,Misiones,46,00,00
2022,2,NeuquÃ©n,47,00,00
2022,2,RÃ­oNegro,33,00,00
2022,2,Salta,39,00,00
2022,2,SanJuan,14,00,00
2022,2,SanLuis,19,00,00
2022,2,SantaCruz,12,00,00
2022,2,SantaFe,42,00,00
2022,2,SantiagoDelEstero,16,00,00
2022,2,TierraDelFuego,11,00,00
2022,2,TucumÃ¡n,50,00,00
2022,1,BuenosAires,63,00,00
2022,1,CapitalFederal,88,00,00
2022,1,Catamarca,51,00,00
2022,1,Chaco,46,00,00
2022,1,Chubut,13,00,00
2022,1,CÃ³rdoba,50,00,00
2022,1,Corrientes,38,00,00
2022,1,EntreRÃ­os,36,00,00
2022,1,Formosa,30,00,00
2022,1,Jujuy,28,00,00
2022,1,LaPampa,15,00,00
2022,1,LaRioja,41,00,00
2022,1,Mendoza,26,00,00
2022,1,Misiones,42,00,00
2022,1,NeuquÃ©n,43,00,00
2022,1,RÃ­oNegro,31,00,00
2022,1,Salta,37,00,00
2022,1,SanJuan,12,00,00
2022,1,SanLuis,21,00,00
2022,1,SantaCruz,11,00,00
2022,1,SantaFe,39,00,00
2022,1,SantiagoDelEstero,14,00,00
2022,1,TierraDelFuego,11,00,00
2022,1,TucumÃ¡n,47,00,00
2021,4,BuenosAires,60,00,00
2021,4,CapitalFederal,83,00,00
2021,4,Catamarca,46,00,00
2021,4,Chaco,42,00,00
2021,4,Chubut,9,00,00
2021,4,CÃ³rdoba,46,00,00
2021,4,Corrientes,36,00,00
2021,4,EntreRÃ­os,33,00,00
2021,4,Formosa,29,00,00
2021,4,Jujuy,27,00,00
2021,4,LaPampa,14,00,00
2021,4,LaRioja,40,00,00
2021,4,Mendoza,22,00,00
2021,4,Misiones,39,00,00
2021,4,NeuquÃ©n,40,00,00
2021,4,RÃ­oNegro,27,00,00
2021,4,Salta,34,00,00
2021,4,SanJuan,11,00,00
2021,4,SanLuis,21,00,00
2021,4,SantaCruz,9,00,00
2021,4,SantaFe,36,00,00
2021,4,SantiagoDelEstero,14,00,00
2021,4,TierraDelFuego,11,00,00
2021,4,TucumÃ¡n,45,00,00
2021,3,BuenosAires,56,00,00
2021,3,CapitalFederal,78,00,00
2021,3,Catamarca,43,00,00
2021,3,Chaco,39,00,00
2021,3,Chubut,8,00,00
2021,3,CÃ³rdoba,42,00,00
2021,3,Corrientes,32,00,00
2021,3,EntreRÃ­os,30,00,00
2021,3,Formosa,27,00,00
2021,3,Jujuy,26,00,00
2021,3,LaPampa,13,00,00
2021,3,LaRioja,39,00,00
2021,3,Mendoza,13,00,00
2021,3,Misiones,31,00,00
2021,3,NeuquÃ©n,38,00,00
2021,3,RÃ­oNegro,25,00,00
2021,3,Salta,31,00,00
2021,3,SanJuan,7,00,00
2021,3,SanLuis,22,00,00
2021,3,SantaCruz,8,00,00
2021,3,SantaFe,33,00,00
2021,3,SantiagoDelEstero,13,00,00
2021,3,TierraDelFuego,10,00,00
2021,3,TucumÃ¡n,42,00,00
2021,2,BuenosAires,53,00,00
2021,2,CapitalFederal,73,00,00
2021,2,Catamarca,42,00,00
2021,2,Chaco,37,00,00
2021,2,Chubut,8,00,00
2021,2,CÃ³rdoba,40,00,00
2021,2,Corrientes,30,00,00
2021,2,EntreRÃ­os,28,00,00
2021,2,Formosa,24,00,00
2021,2,Jujuy,26,00,00
2021,2,LaPampa,12,00,00
2021,2,LaRioja,39,00,00
2021,2,Mendoza,13,00,00
2021,2,Misiones,29,00,00
2021,2,NeuquÃ©n,36,00,00
2021,2,RÃ­oNegro,24,00,00
2021,2,Salta,29,00,00
2021,2,SanJuan,7,00,00
2021,2,SanLuis,22,00,00
2021,2,SantaCruz,8,00,00
2021,2,SantaFe,31,00,00
2021,2,SantiagoDelEstero,13,00,00
2021,2,TierraDelFuego,9,00,00
2021,2,TucumÃ¡n,40,00,00
2021,1,BuenosAires,51,00,00
2021,1,CapitalFederal,68,00,00
2021,1,Catamarca,40,00,00
2021,1,Chaco,34,00,00
2021,1,Chubut,8,00,00
2021,1,CÃ³rdoba,36,00,00
2021,1,Corrientes,26,00,00
2021,1,EntreRÃ­os,24,00,00
2021,1,Formosa,21,00,00
2021,1,Jujuy,27,00,00
2021,1,LaPampa,11,00,00
2021,1,LaRioja,13,00,00
2021,1,Mendoza,13,00,00
2021,1,Misiones,25,00,00
2021,1,NeuquÃ©n,34,00,00
2021,1,RÃ­oNegro,22,00,00
2021,1,Salta,27,00,00
2021,1,SanJuan,7,00,00
2021,1,SanLuis,22,00,00
2021,1,SantaCruz,8,00,00
2021,1,SantaFe,28,00,00
2021,1,SantiagoDelEstero,12,00,00
2021,1,TierraDelFuego,9,00,00
2021,1,TucumÃ¡n,38,00,00
2020,4,BuenosAires,50,00,00
2020,4,CapitalFederal,67,00,00
2020,4,Catamarca,38,00,00
2020,4,Chaco,32,00,00
2020,4,Chubut,7,00,00
2020,4,CÃ³rdoba,35,00,00
2020,4,Corrientes,25,00,00
2020,4,EntreRÃ­os,24,00,00
2020,4,Formosa,20,00,00
2020,4,Jujuy,25,00,00
2020,4,LaPampa,10,00,00
2020,4,LaRioja,13,00,00
2020,4,Mendoza,11,00,00
2020,4,Misiones,25,00,00
2020,4,NeuquÃ©n,34,00,00
2020,4,RÃ­oNegro,22,00,00
2020,4,Salta,25,00,00
2020,4,SanJuan,6,00,00
2020,4,SanLuis,21,00,00
2020,4,SantaCruz,7,00,00
2020,4,SantaFe,27,00,00
2020,4,SantiagoDelEstero,11,00,00
2020,4,TierraDelFuego,8,00,00
2020,4,TucumÃ¡n,36,00,00
2020,3,BuenosAires,48,00,00
2020,3,CapitalFederal,64,00,00
2020,3,Catamarca,37,00,00
2020,3,Chaco,31,00,00
2020,3,Chubut,7,00,00
2020,3,CÃ³rdoba,34,00,00
